#,Name,length,height,wingspan
392,Joe HarrisBKN | SG,1.25,"6'4.75""","6'6"""
393,Kenrich WilliamsOKC | SF,1.25,"6'6""","6'7.25"""
394,Kevin HuerterATL | SG,1.25,"6'6.25""","6'7.5"""
395,Rodney HoodMIL | SG,1.25,"6'7.25""","6'8.5"""
396,Terrence RossORL | SG,1.25,"6'6""","6'7.25"""
397,Omer YurtsevenMIA | C,1.25,"6'11.5""","7'0.75"""
398,Dalano BantonTOR | SF,1.25,"6'9""","6'10.25"""
399,Brandon ClarkeMEM | PF,1,"6'7.25""","6'8.25"""
400,Dean WadeCLE | PF,1,"6'9""","6'10"""
401,Dillon BrooksMEM | SF,1,"6'5""","6'6"""
402,Domantas SabonisIND | PF,1,"6'10""","6'11"""
403,Evan FournierNYK | SF,1,"6'6.5""","6'7.5"""
404,Gordon HaywardCHA | SF,1,"6'6.75""","6'7.75"""
405,Chris DuarteIND | SG,1,"6'6""","6'7"""
406,Corey KispertWAS | SF,1,"6'6""","6'7"""
